vendor,url,yc_batch,category,public_customers_found,one_liner
Slite,https://slite.com,not YC,company-brain,47,"Incumbent knowledge-base vendor repositioning as a ""managed company brain"" — pairs a human-verified knowledge base with an AI agent connected to team tools, so the brain stays in sync with reality for both humans and agents. Notable as the non-YC/incumbent flank of the category."
Hyper,https://heyhyper.ai,Spring 2026,company-brain,13,"Confirmed: ""The self-driving company brain"" — aggregates email, Slack, docs, calendar and GitHub into a knowledge graph powering AI employees."
Hyperspell,https://www.hyperspell.com/,W25,company-brain,13,"Confirmed live; tagline is now ""A brain for your company"" — connects enterprise data sources into a permission-aware knowledge graph agents query as a filesystem."
Jedify,https://www.jedify.com,not YC,company-brain,11,"'The Context Graph for Enterprise AI' — connects databases, warehouses, SaaS apps, BI tools and unstructured docs/meeting recordings via APIs into a 'Semantic Fusion' context graph capturing relationships across entities, data, people, permissions and customers, with access controls preserved. FUNDI"
Colrows,https://colrows.com,not YC,company-brain,10,Author of the reference article; a semantic execution layer that compiles business definitions into governed SQL for enterprise AI — adjacent (semantic/metrics layer) rather than a document-memory company brain.
Interloom,https://www.interloom.com/,not YC,company-brain,10,"Munich-based enterprise operations workspace that delegates work across teams and AI agents while building a context graph (""MemoryRank"") of cases, decisions and outcomes — positioned as turning expert operational knowledge into permanent agent memory. €14.2M/$16.5M seed led by DN Capital."
Trace,https://trace.so,YC S25 (2025 summer cohort),company-brain,9,"Builds a knowledge graph of a company from email, Slack, Airtable and similar tools, then turns high-level tasks into step-by-step workflows, delegating some steps to agents and others to humans with the right context attached; framed by founders as 'from prompt engineering to context engineering'. "
Falconer,https://falconer.com,not YC,company-brain,8,"""The source of truth for high-speed teams"" — self-updating engineering docs grounded in the codebase, exposed to coding agents via Falconer MCP; markets itself as running ""context engineering at company scale."" Backed by BoxGroup and The General Partnership."
Naboo,https://www.naboo.ai/,not YC,company-brain,8,"Confirmed: ""The Reasoning Layer for Enterprise AI Agents"" — builds a queryable Decision Graph across tickets, PRs, code and chat; on-prem/VPC, RBAC, forward-deployed-agent delivery model."
Agently,https://agently.dev,not YC,company-brain,7,"""Agently Brain"" built continuously from uploaded docs, Slack, Gmail, HubSpot, Linear, GitHub and 25+ other sources."
Glen,https://www.tryglen.com/,YC (company page exists; batch not stated on page),company-brain,7,"Confirmed: ""Agents that get smarter as your company works"" — institutional learning layer that pulls Claude Code/Codex/Cursor sessions plus Slack, GitHub, tickets and docs, and injects prior context into new agent runs."
RoryPlans,https://www.producthunt.com/categories/llm-memory,not YC,company-brain,4,"""A shared brain for your agents and team"" — team-scoped shared memory, one of the few Product Hunt LLM-memory launches with an org rather than personal scope."
Sentra,https://www.sentra.app,not YC (a16z speedrun),company-brain,4,"Governed org-wide memory layer with bi-temporal tracking (when a fact was recorded vs. when it was true), commitment tracking and contradiction detection; served to humans and agents over REST/MCP."
Sentra (Dynamis Labs),https://www.sentra.app/,not YC,company-brain,4,"""The Company Brain for your team and AI agents"" — a governed organizational memory layer capturing decisions and commitments with bi-temporal tracking, queryable via one API/MCP. Backed by a16z Speedrun and Together Fund. (Distinct from sentra.io, the data-security company.)"
Engram,https://engram.com,not YC,company-brain,3,"Learned memory layer that trains a compact, continuously-improving per-customer memory so models 'actually know your organization' — claims frontier-model parity at up to 100x fewer tokens. FUNDING: $98M launch/stealth-exit round at a $600M valuation, announced 23 Jun 2026, from General Catalyst, Kl"
Lore,https://www.uselore.io/,not YC,company-brain,2,"AI knowledge base / ""AI intranet"" positioned as an enterprise brain, with a native MCP server so Claude, ChatGPT and Cursor can query company knowledge; spun out of Brewster Consulting Group."
Zaro,https://zaro.ai,not YC,company-brain,2,"Shared memory / context layer for AI agents, positioning the company itself as the hub so 'every agent reads from and writes to it at once, like a document the whole team edits live' — explicitly so knowledge compounds for the customer, not the software vendor. FUNDING: $5.1M pre-seed led by Cherry "
Company Brain,https://company-brain.ai,not YC,company-brain,1,"Confirmed but early access/waitlist only: lightweight MCP connector that loads persistent business context into Claude, ChatGPT and Copilot sessions."
Memory Store,https://memory.store,Spring 2026,company-brain,1,"Confirmed: ""One shared memory for your teammates, and agents"" — synthesizes Slack/Gmail/Granola transcripts into shared company memory plus self-updating ""Briefs""."
Webair AI,https://www.webair.ai/company-brain,not YC,company-brain,1,"""The Company Brain for your business"" — a private company brain reachable by SMS or web, built on its Cortyx routing-and-memory engine that layers business, personal and operational knowledge and acts as a privacy shim to model providers. NY-based; SMB/prosumer positioning rather than agent infrastr"
Almanac,https://usealmanac.com,S26 (Summer 2026),company-brain,0,"""The agent with a company brain"" — bets that the AI context layer takes the shape of a wiki: compiles Slack, Gmail, GitHub and Calendar into a self-updating, browsable wiki with every claim source-linked, which its always-on agent reads before acting. Founders Kushagra Chitkara, Rohan Sharma, Divit "
Cerenovus,https://cerenovus.ai,S26,company-brain,0,"Confirmed live; positions as ""Institutional intelligence and decision infrastructure"" — markdown-based knowledge graph over docs/email/Slack that maps operations and infers inefficiencies."
Compendium,https://www.producthunt.com/products/compendium-2,unknown,company-brain,0,"""Keeping your team, agents, and data on one page"" — company brain where all agents share one memory, plus multiplayer sessions letting teammates drive one Claude together; aimed at AI-native startups."
