tier,customer,url,cited_by,category,stage,funding,headcount,accelerator,how_they_use_agents,why_memory,testimonial,person_quoted
anchor (persona-fit),AgentMail,https://agentmail.to,Hyperspell; Honcho (Plastic Labs),AI agent infrastructure / email API (dev tools),Seed,"$6M seed announced 2026-03-10, led by General Catalyst, with Y Combinator and Ph",~10-11 (YC directory lists team size 10;,"Y Combinator, Summer 2025 batch (group partner Ankit Gupta);","Agents ARE the product's end user: AgentMail sells inboxes that autonomous agents own and operate — signing up for services, receiving confirmations, authenticating, and running email threads with no human in the loop (their AISDR case study cites thousands of emails/week fully unattended). Internal","Small (~10 person) dev-tools team fielding high-volume developer support across docs, Discord, email and a large SEO blog surface; support answers must be grounded in constantly-shipping product docs. They wanted one retrieval layer both humans and t","""The Hyperspell company brain has been incredibly helpful for our customer support. Having one shared source of truth across our whole team and agents has let us automate most of our internal operations."" — appears under the homepage heading ""Testimonials / What our customers say"". AgentMail also appears in the homepage logo marquee.","Adi Singh, Founder"
anchor (persona-fit),OpenNote,https://www.opennote.me,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai)",Consumer edtech / AI tutoring (AI-native study + note-taking app). Now folded into document-intelligence infrastructure ,Seed / YC S25 — now ACQUIRED (exited May 2026). No longer an independe,"$850,000 USD raised before Y Combinator, per the YC company directory, plus the ",3 (team size listed on the YC company di,"Y Combinator, Summer 2025 batch (S25). Note: the S24 batch r","Agents were the product, not a back-office tool. 'Feynman-2' was their AI tutoring engine — an in-workspace tutor agent that explained concepts, generated interactive diagrams, edited the student's writing, referenced both the student's own notes and the web, ran background tasks, and gave feedback ","Three stated drivers, all classic for this category. (1) Session fragmentation: the tutor could not recall a student's prior questions, struggles or learning path, so every session restarted cold — fatal for a tutoring product whose value proposition","""Mem0 turned our AI tutors into true learning companions - tracking each student's struggles, strengths, and learning style across the entire platform and tools."" — Abhi Arya, Co-Founder. Two further co-founder quotes in the same case study: ""We're incredibly glad to be working with this team and have Mem0 built into Feynman-2, our AI tutoring engi","Abhi Arya, Co-Founder, Opennote (also quoted: Rishi Srihari, Co-Founder; Vedant Vyas, Co-Founder)"
anchor (persona-fit),Composio,https://composio.dev,Glen (Glen Labs Incorporated) — https://www.tryglen.com/; Supermemory; Poth Labs,"Agent infrastructure / developer tools — the tool-calling, auth and execution layer for AI agents",Series A,$29M Series A announced 2025-07-22 by co-founder Soham Ganatra ('We raised $29M ,11-50 (LinkedIn band); likely toward the,Unknown / not confirmed — ycombinator.com/companies/composio,"Composio IS agent infrastructure — its entire product is the action/tool layer agents call to do work in external SaaS. Agents are the users of the product (they even self-register as of May 2026). Internally, the team is a small AI-native engineering org building distributed self-improving systems,","This is the strongest, most concrete signal of the three. The Glen testimonial is from a named employee — 'KJ, MTS at Composio' — and describes a real onboarding/context-recovery moment: 'Yesterday I got Posthog access and was trying to understand so","""Yesterday I got Posthog access and was trying to understand some stuff, glen surfaced Sarah's context and was very very very helpful, would recommend"" — homepage testimonial carousel. Composio also appears in the homepage logo wall under the heading ""Powering knowledge work at"" (/logos/composio.svg, alt ""Composio logo""). Note: founder Nikos Dritsa","KJ, MTS (Member of Technical Staff), Composio"
anchor (persona-fit),Zaplar,https://zaplar.com,Glen (Glen Labs Incorporated) — https://www.tryglen.com/,Vertical AI / agentic vertical SaaS for hospitality (hotel operations),"Pre-seed / seed — YC Summer 2026 batch, currently active","Not disclosed. Backed by Y Combinator (S26 batch, so presumably the standard YC ",8-9 (YC directory says team size 8; Link,"Y Combinator, Summer 2026 (S26)","Agents run hotel operations in production and guest-facing: autonomous handling of bookings and OTA data, staffing and scheduling, reports, contracts and inventory around the clock, with a human-in-the-loop approval step; 'agent mode' conducts guest conversations directly. This is agents as the core","The buying motive here is developer experience, not customer-facing memory. The testimonial is from co-founder/CTO Jon Milles — 'The absolute best dev ex tool I've used since the invention of the text editor' — and Zaplar also sits in Glen's 'Powerin","""The absolute best dev ex tool I've used since the invention of the text editor."" — homepage testimonial carousel. Zaplar also appears in the homepage logo wall under ""Powering knowledge work at"" (/logos/zaplar.png, alt ""Zaplar logo""). Zaplar is a YC S26 agentic hotel operating system; its co-founder/CTO is Jon Milles, matching the attribution.","Jon, Co-Founder & CTO, Zaplar"
anchor (persona-fit),Amorphic Labs,https://www.amorphiclabs.com,Glen (Glen Labs Incorporated) — https://www.tryglen.com/,agent infrastructure / AI dev tools (capability marketplace + payments/routing layer for agents),"pre-seed / accelerator (YC S26, active batch)",unknown — no disclosed round. Backed by Y Combinator (S26); no announced priced ,2 (per YC company profile team size; bot,"Y Combinator, Summer 2026 (S26) — active","Agents ARE the customer, not just an internal tool. AgentMuxer is consumed by autonomous agents at runtime: an agent connects one MCP server, then discovers, selects, pays for, and invokes external capabilities (search, scraping, browser automation, financial and government data) without a human pre","Two founders (Dylan Kelly, CEO; Frank Li, CTO, ex-OpenAI MTS/project lead) building a marketplace with thousands of provider integrations, almost entirely via coding agents. With no headcount to absorb tribal knowledge, agent session context IS the i","""It just works and works well. Love using it"" — homepage testimonial carousel. Amorphic Labs also appears in the homepage logo wall under ""Powering knowledge work at"" (/logos/amorphic.png, alt ""Amorphic Labs logo""). Amorphic Labs is a YC S26 company (""OpenRouter for Agent Capabilities""); its co-founder/CTO is Frank Li (ex-OpenAI), matching the attr","Frank, Co-Founder & CTO, Amorphic Labs"
anchor (persona-fit),Hobbes,https://www.hihobbes.com,Hyperspell,AI SDR / AI sales agent (GTM software),Seed,"$6M seed, announced ~May 2026, led by Steve Vassallo at Foundation Capital, with","~9 (LinkedIn reports 9 employees, band """,none found — no YC or accelerator affiliation surfaced on th,"The agent is the entire product — a conversational sales rep that autonomously drives a live product walkthrough, qualifies, and closes or books. Publicly described as powered by Claude, with buyer memory carried across sessions and self-improvement loops; the founders say agent-to-agent sales, worl","The agent has to be grounded in a customer's whole knowledge surface — product docs, help center, recorded sales calls — and stay current as that surface changes, per customer, across every tenant. Arjun Athreya's testimonial is explicit that reliabl","""Reliable data ingestion, search, monitoring, and tuning-for a small team, putting it together would have taken months. Hyperspell had a complete solution out of the box and saved us the heavy lift."" — under ""Testimonials / What our customers say"". Logo asset filename is literally ""customer logos/Hobbes"". NOTE: the relationship is reciprocal — Hobb","Arjun Athreya, CTO"
anchor (persona-fit),SlideSpeak,https://slidespeak.co,Cognee (Topoteretes UG) — https://cognee.ai,AI document & presentation generation — prosumer/SMB self-serve SaaS plus a developer API/MCP business; agent-infrastruc,unknown — no funding round found in any source I could reach. Profile ,"unknown — no disclosed round, no press release, no Crunchbase/TechCrunch item lo",~9 (LinkedIn public data reports numberO,"None found — no YC, no accelerator affiliation surfaced on t","SlideSpeak is unusual in this cohort: it is being repositioned as agent infrastructure, not just an AI app. (1) 'Onbrand' Brand MCP server exposes an org's logos, colors, fonts, imagery and approved slide layouts read-only to MCP clients — Claude Code, Codex, Cursor — so agents generate on-brand dec","Their own marketing copy states the thesis better than any analyst could: 'AI agents are brilliant designers with amnesia.' The concrete product pain is repetition — per Kevin Goedecke, 'SlideSpeak customers create slides from scratch over and over a","Homepage and /customers testimonial: ""SlideSpeak customers create slides from scratch over and over again. With cognee, we added memory, so users can create better slides from shared context and improve those slides over time.""","Kevin Goedecke, Founder & CEO, SlideSpeak"
anchor (persona-fit),Luccid,unknown,Cognee (Topoteretes UG) — https://cognee.ai,"Vertical AI for AEC / construction and building materials (regulatory knowledge base, then manufacturer sales & technica",pre-seed / accelerator- and university-program-backed; no disclosed pr,unknown — no funding round found. Self-described as 'backed by Science & Startup,"unknown, very small — likely 2-5. The 20","Not YC. Xpreneurs (UnternehmerTUM, Munich), AI Campus Founde","The whole product is an agent. Earlier: a 'virtual construction law expert' chat agent that architects queried against building codes and regulations for a specific project, plus checklist and project-summary generation. Now: a branded, multilingual website chat agent for a manufacturer that answers","Per the cognee testimonial (Marko Lazic, CEO): 'The team helped me build a custom knowledge base of building codes and regulations that I could upload, query, and keep updated as regulations changed.' The hard part is a durable, incrementally updatab","Homepage and /customers testimonial: ""The team helped me build a custom knowledge base of building codes and regulations that I could upload, query, and keep updated as regulations changed."" (Construction/AEC regulations use case. No company website is linked from the cognee site and I could not verify a domain — luccid.com is a parked domain-sale ","Marko Lazic, CEO, Luccid"
anchor (persona-fit),Scira AI,https://scira.ai,Supermemory,"AI search & research (consumer/prosumer answer engine, open source)",indie / bootstrapped solo-founder project — no institutional round fou,"unknown, most likely none institutional. No Crunchbase/PitchBook/TechCrunch reco",1 (solo founder) plus open-source contri,none found — no YC page (ycombinator.com/companies/scira and,"The agent IS the product. 'Agentic planning' breaks a question into sub-tasks, picks a model and source per sub-task, and executes multi-step workflows end to end. 'Extreme search' is an LLM-driven deep-research agent with multi-step planning, code execution and artifact storage in R2. 'Lookouts' ar","Two jobs. First, continuity: research is multi-session, so the agent must carry what a user already asked, found and rejected across sessions — Memory is a paid Pro mode ('your personal memory companion'). Second, personal corpus: Connectors let the ","Case study ""Why Scira AI switched from Mem0 to Supermemory"" (October 2, 2025). Pull quote: ""A thousand times better than Mem0."" Other quotes: ""Mem0 was not great. Glad to have found supermemory""; ""Every time it was indexing something, it wouldn't add it to the memories""; ""I had some issues; they were fixed very quickly."" Metrics: 37.4% lower mean r","Zaid Mukaddam, Founder, Scira AI"
anchor (persona-fit),Flow,unknown,Supermemory,Consumer/prosumer productivity — AI note-taking and personal knowledge management,unknown — appears to be an indie/bootstrapped solo-founder product; no,"unknown — no funding announcement, Crunchbase/PitchBook entry, or press coverage",unknown — almost certainly very small (1,None found,"Less an autonomous-agent product than an LLM-over-your-corpus product. AI reads across the user's whole note/PDF/video/audio library to answer questions with multi-document context, surfaces contextual suggestions live as you write, auto-extracts tasks from note text, and generates spaced-repetition","Memory IS the product for Flow, not an add-on: 'memory was the only important part for the product to go public.' They had built on Mem0 first and it broke under high-volume, multi-document context — the exact failure mode a note app hits when a user","Case study ""The wow factor of memory: how Flow built smarter, stickier products"" (June 14, 2025). Quote: ""I'm considering changing the model to pay-first just because of how good the memory is."" Also: ""Having a good memory layer or like having some sort of remembering system, is what I always wanted... memory was the only important part for the pro","Daniel, Founder, Flow (first name only given)"
